date,price
29/05/2025,107838.18431100152
30/05/2025,105745.41660358038
31/05/2025,104010.91956242644
01/06/2025,104687.50742934884
02/06/2025,105710.00593822816
03/06/2025,105884.74263221149
04/06/2025,105434.47745144971
05/06/2025,104812.9182188067
06/06/2025,101650.7387545425
07/06/2025,104409.74967959142
08/06/2025,105681.4546141758
09/06/2025,105692.24740699006
10/06/2025,110261.57485948496
11/06/2025,110212.73252109604
12/06/2025,108679.9760916168
13/06/2025,105979.22902375912
14/06/2025,106045.56440819203
15/06/2025,105482.90611628917
16/06/2025,105554.49383061715
17/06/2025,106951.2720181497
18/06/2025,104683.42479835715
19/06/2025,104722.695052907
20/06/2025,104690.65002458123
21/06/2025,103290.105144757
22/06/2025,101532.5683847329
23/06/2025,100852.58264648831
24/06/2025,105511.62437933135
25/06/2025,105976.06929808448
26/06/2025,107238.53045016268
27/06/2025,106984.01253775663
27/06/2025,106832.63958562547
28/06/2025,107078.91560644074
28/06/2025,107331.65491222688
29/06/2025,107331.58548463577
30/06/2025,108396.61631317894
30/06/2025,107715.01287150318
01/07/2025,107132.79910701896
01/07/2025,106411.46745203223
