date,price
29/05/2025,2676.2674124507
30/05/2025,2633.1392065286695
31/05/2025,2524.4762348050726
01/06/2025,2532.3627853090866
02/06/2025,2538.3300584367485
03/06/2025,2609.737253959435
04/06/2025,2595.4689570062997
05/06/2025,2610.343189828259
06/06/2025,2421.601103763502
07/06/2025,2481.4039836690267
08/06/2025,2526.291995889778
09/06/2025,2508.784123584585
10/06/2025,2685.0001850413178
11/06/2025,2808.503208314919
12/06/2025,2776.1371915822333
13/06/2025,2653.158968452672
14/06/2025,2577.04861752583
15/06/2025,2534.0702195359518
16/06/2025,2547.8456040920437
17/06/2025,2561.329843569428
18/06/2025,2514.986700576147
19/06/2025,2521.3334233964915
20/06/2025,2522.1791903642184
21/06/2025,2405.695434213183
22/06/2025,2270.581996055585
23/06/2025,2227.4287266371684
24/06/2025,2423.899644268608
25/06/2025,2446.539301545049
26/06/2025,2417.2267855277296
27/06/2025,2415.031864876594
27/06/2025,2402.1298987103387
