date,price
29/05/2025,172.12073410994773
30/05/2025,166.83894593726552
31/05/2025,156.51262963204462
01/06/2025,156.86968538083693
02/06/2025,157.63092185153255
03/06/2025,156.97126157615844
04/06/2025,155.57609294535118
05/06/2025,153.52933334658826
06/06/2025,144.54778524030908
07/06/2025,148.27289869882955
08/06/2025,150.07536034230216
09/06/2025,152.50446458828966
10/06/2025,161.15980951265985
11/06/2025,164.9644225697288
12/06/2025,161.01986639557893
13/06/2025,152.6604566097001
14/06/2025,148.53042859104298
15/06/2025,144.75154594223267
16/06/2025,152.684889859998
17/06/2025,151.43554856186984
18/06/2025,147.99188434299543
19/06/2025,146.27697674399295
20/06/2025,147.09924520457085
21/06/2025,140.04009054961782
22/06/2025,133.71000196412658
23/06/2025,131.8134744866569
24/06/2025,144.7815680115998
25/06/2025,145.8019507474219
26/06/2025,143.37011953879949
27/06/2025,138.97799072607012
27/06/2025,141.3292320575499
